year,country,ccode,ele_rural,ele_total,ele_urban,en_int,ren_ele,ren_con,tot_ele,tfec
1990,West Bank and Gaza,PSE,92.14706147,97.35402679,99.83727264,4.68898226,0,4050.072,60,18340.98718
1990,Western Asia,GWA,,,,,,,,
1990,Western Sahara,ESH,,,,,0,0,,0
1990,World,GWL,,,,,,,,
1990,"Yemen, Rep.",YEM,22.09033181,36.00909805,88.58866119,2.593639497,0,1570.804,1663,73106.97084
1990,Zambia,ZMB,1.8,13.9,34.7,12.0767491,7951,148743.4,8013,179246.2027
1990,Zimbabwe,ZWE,7.831814497,30.35783195,85.53988647,14.69713609,4369,212307.4,9362,331852.6344
1991,Afghanistan,AFG,,0.01,53.80983734,1.995913063,690,6361.651,1015,37341.42628
1991,Albania,ALB,100,100,100,7.866893331,3518,19426.18,3818,58870.4692
1991,Algeria,DZA,96.55789324,98.37776947,100,3.748161357,293,1618.042,17345,499870.5931
1991,American Samoa,ASM,,,,,0,0,108,331.2
1991,Andorra,AND,100,100,100,,120,952.145,120,6670.695
1991,Angola,AGO,8.330743085,12.57937908,24.5339241,4.772857958,772,138583,934,192774.549
1991,Anguilla,AIA,,89.89792633,89.89792633,,0,1.827,14.5,621.367
1991,Antigua and Barbuda,ATG,77.77213417,85.65510559,100,3.710418236,0,0,95,2597.5
1991,Argentina,ARG,91.12367249,91.12367249,91.12367249,4.976391318,16321,106435.7,53623,1216660.466
1991,Armenia,ARM,96.18639645,97.85359192,98.66918945,29.09418599,1546,5674.111,9516,245692.519
1991,Aruba,ABW,77.43146737,88.78084564,99.99336243,,0,8.26657,339,3518.36657
1991,Australia,AUS,100,100,100,7.341423042,16590,181011.2,156536,2195279.958
1991,Austria,AUT,100,100,100,4.487398795,32649,202599.3,50181,827077.7635
1991,Azerbaijan,AZE,93.0527272,96.16372681,98.87409973,15.53230593,1758,5088.901,23450,632439.4186
1991,"Bahamas, The",BHS,83.34839824,91.3105011,93.29268646,4.137246103,0,0,1135,17020.6
1991,Bahrain,BHR,,,,11.04827848,0,0,7403,40668.6074
1991,Bangladesh,BGD,4.57,14.29,58.06059522,3.714224405,838,285111.2,8270,389710.9028
1991,Barbados,BRB,,,,5.287688108,0,1720.412,531,9307.711975
1991,Belarus,BLR,100,100,100,22.80707626,18,9289.49,38735,1033668.166
1991,Belgium,BEL,100,100,100,6.793097133,536,15609.84,71186,1284674.069
1991,Belize,BLZ,79.22228675,88.18964386,98.17836761,8.544715692,0,2388.829,125,7363.529
1991,Benin,BEN,,8.683940887,31.79851151,9.304420965,0,57757.79,23,60820.17822
1991,Bermuda,BMU,,100,100,3.335271999,0,0,513,5981.6
1991,BES Islands,BES,,,,,,,0,
1991,Bhutan,BTN,,0.481654525,93.61418915,30.2889944,1560,35804.34,1564,37327.31765
1991,Bolivia,BOL,11.55905018,57.85351563,93.38175964,4.211107438,1340,35663.96,2276,93162.28712
1991,Bosnia and Herzegovina,BIH,96.45706444,97.11223602,98.11593628,46.7729445,5138,15604.27,13785,178140.8038
1991,Botswana,BWA,2,10.1,17.5,4.325961179,0,18948.37,935,39407.83632
1991,Brazil,BRA,65.23925031,89.83562469,98.17053223,3.823798864,221781,2124781,234377,4341766.489
1991,British Virgin Islands,VGB,,,,,0,8.86095,45,566.46095
1991,Brunei Darussalam,BRN,100,100,100,4.002543733,0,63.9743,1269,14803.10129
1991,Bulgaria,BGR,100,100,100,12.37190284,2441,11290.19,40862,501662.9622
1991,Burkina Faso,BFA,,3.308718681,30.20695114,12.03042375,13,88874.51,194,95303.87836
1991,Burundi,BDI,,0.688546002,54.18042374,9.528846601,134,50303.67,136,53379.01515
1991,Cambodia,KHM,,0.105638802,37.46941376,13.28240565,0,0,,0
1991,Cameroon,CMR,8.7,29,63,6.550969363,2671,165017.3,2710,198363.0059
1991,Canada,CAN,100,100,100,10.36505173,312248,1346417,508461,6065531.46
1991,Cape Verde,CPV,2.051709903,34.92931366,75.04180908,4.145155922,0,612.998,53,1609.538
1991,Caucasian and Central Asia,CCA,,,,,,,,
1991,Caucasus and Central Asia,GCA,,,,,,,,
1991,Cayman Islands,CYM,,100,100,,0,0,234,2245.4
1991,Central African Republic,CAF,,0.53883028,3.191390991,11.28548654,76,28108.26,94,29981.425
1991,Chad,TCD,,0.030787271,0.555086613,6.185905548,0,37524.15,87,38171.65355
1991,Channel Islands,CHI,100,100,100,,0,0,,0
1991,Chile,CHL,69.49582387,94.25153351,99.17964172,4.572700142,14167,171237.1,19961,459415.973
1991,China,CHN,90.151001,92.65581512,99.32211304,18.87711071,125165,8823130,677625,26528968.59
1991,Colombia,COL,73.65000312,90.76000977,98.52064514,3.882419891,27995,293889,36990,794268.2402
1991,Comoros,COM,5.460459167,17.76657677,48.84362793,3.686732363,0,788.1517,16,1554.151735
1991,"Congo, Dem. Rep.",COD,,0.582454681,8.472360611,12.18454,5259,420690.9,5281,442186.4118
1991,"Congo, Rep.",COG,,0.834693372,16.21323013,2.679317975,480,17078.71,480,26452.91416
1991,Cook Islands,COK,94.31227951,95.57455444,96.55029297,,0,0,16,362.5
1991,Costa Rica,CRI,95.18023748,97.63420105,99.9998703,3.218435837,3666,28274.28,3864,63268.32578
1991,Cote d'Ivoire,CIV,15.23913981,38.7843895,74.5231781,4.774664523,1254,90578.01,1817,122376.8146
1991,Croatia,HRV,100,100,100,5.364293748,5891,77392.51,8941,232029.9021
1991,Cuba,CUB,77.10567093,92.99980164,98.67868042,4.659978164,1369,216202.1,13247,458306.0523
1991,Curacao,CUW,100,100,100,,0,0,801,26109.51282
1991,Cyprus,CYP,100,100,100,4.203008314,0,150.8085,2077,41225.87048
1991,Czech Republic,CZE,100,100,100,10.36001668,1089,46726.69,60298,1175460.261
1991,Denmark,DNK,100,100,100,4.653709165,1057,40447.43,36545,572026.6998
1991,Djibouti,DJI,84.96645569,59.36952591,51.33671188,3.677572537,0,1241.117,180,4562.01724
1991,Dominica,DMA,67.54698181,67.54698181,67.54698181,2.017758026,16,119.7456,31,825.535905
