product,rating,rating_no,sales,price
"Infinix HOT 30i (8/128GB) | 6.56"" HD+ Punch Hole Display | Media Tek Helio G37 | 5000 mAh Battery | 10W",,,,"Rs.15,499"
"OnePlus Nord N30SE 5G | 4GB RAM, 128GB Storage | 5000 mAh Battery",4/5,(3),,"Rs.26,499"
"OnePlus Nord N20 SE (4 GB RAM, 64 GB Storage | 6.56” LCD Display | 5000 mAh Battery)",3.6/5,(9),47 Sold,"Rs.23,499"
Samsung Galaxy A54 5G (8GB+256GB),4.8/5,(11),43 Sold,"Rs.59,999"
"HONOR X5 Plus 4GB RAM , 64GB Storage 5200mAh Battery｜ 50MP Dual Camera｜ 90Hz Eye-Comfort Display ,",4.5/5,(4),,"Rs.15,490"
Lava Benco Y11 (1GB/32GB) II SC7731E 1.3Ghz Quad-Core Processer II Android 11 Go Edition,4.4/5,(7),53 Sold,"Rs.6,000"
"Tecno Spark Go 2024 (4/64GB) | 6.56"" Dot-In Display | Android 13 | 5000 mAh Battery | Fast Charge | Side Edge Fingerprint",,,,"Rs.11,990"
"Samsung Galaxy M14 4G (6GB,128GB) | 50MP Triple Cam | 5000mAh Battery | Snapdragon 680 Processor | 2 Gen. OS Upgrade & 4 Year Security Update | 12GB RAM with RAM Plus",,,,"Rs.21,999"
Samsung Galaxy A24 Lte (8GB+128GB),4/5,(10),33 Sold,"Rs.31,999"
"Samsung Galaxy A05 (6GB/128GB) | 50MP+2MP Rear Camera | 6.7"" HD+ Display | 25W Super Fast Charging",1/5,(1),,"Rs.17,999"
Vitu S6 Max 4gb /64gb 4g LTE,,,,"Rs.9,500"
Samsung Galaxy A15 5G | 50 MP Main Camera | Android 14 with One UI 6.0 | 16GB Expandable RAM | MediaTek Dimensity 6100+ | 5000 mAh Battery,5/5,(1),,"Rs.29,899"
D2000 Antina Big Battery Mobile,5/5,(1),,"Rs.3,649"
Redmi 10 - 2022 ( RAM: 4 GB | ROM: 64 GB) | MediaTek Helio G88 | 50MP Main Camera,4.9/5,(7),33 Sold,"Rs.20,499"
Benco S1 (8GB+128GB) || Fingerprint || 48MP + 2MP + AI Camera || 5000Mah Battery,4.5/5,(4),,"Rs.15,899"
Infinix hot 30i | 50MP Camera | 90HZ 6.6'' Display | 5000mAh battery,4.3/5,(7),,"Rs.16,899"
vivo Y20s l 4 GB RAM + 128 GB ROM l 5000 mAh Battery l 18W Fast Charge l Side Fingerprint,3.7/5,(7),51 Sold,"Rs.23,999"
